thread	coarse	lock-coupling	optimistic	lazy	versioned	lock-free
1	332366.2674650699	124971.3524317122	172768.3089214381	323145.6181272909	329492.3384410393	153661.67166167166
2	195061.62558294472	117935.35488170611	325520.9860093271	644754.4093178037	682702.5316455697	284575.2330226365
4	192671.5522984677	156596.8708388815	612090.6062624917	1200376.1651131825	1285526.9461077845	569072.5940725941
8	198299.93342210387	201145.236508994	1060763.9027639027	2140239.9334442597	2174875.4578754576	942686.1702127659
16	195494.34087882822	135445.25790349417	1060871.7607973423	2179284.776902887	1798052.1172638438	1108644.4159178433
